"Seller Gstin","Invoice Number","Invoice Date","Transaction Type","Order Id","Shipment Id","Shipment Date","Order Date","Shipment Item Id","Quantity","Item Description","Asin","Hsn/sac","Sku","Product Tax Code","Bill From City","Bill From State","Bill From Country","Bill From Postal Code","Ship From City","Ship From State","Ship From Country","Ship From Postal Code","Ship To City","Ship To State","Ship To Country","Ship To Postal Code","Invoice Amount","Tax Exclusive Gross","Total Tax Amount","Cgst Rate","Sgst Rate","Utgst Rate","Igst Rate","Compensatory Cess Rate","Principal Amount","Principal Amount Basis","Cgst Tax","Sgst Tax","Igst Tax","Utgst Tax","Compensatory Cess Tax","Shipping Amount","Shipping Amount Basis","Shipping Cgst Tax","Shipping Sgst Tax","Shipping Utgst Tax","Shipping Igst Tax","Shipping Cess Tax Amount","Gift Wrap Amount","Gift Wrap Amount Basis","Gift Wrap Cgst Tax","Gift Wrap Sgst Tax","Gift Wrap Utgst Tax","Gift Wrap Igst Tax","Gift Wrap Compensatory Cess Tax","Item Promo Discount","Item Promo Discount Basis","Item Promo Tax","Shipping Promo Discount","Shipping Promo Discount Basis","Shipping Promo Tax","Gift Wrap Promo Discount","Gift Wrap Promo Discount Basis","Gift Wrap Promo Tax","Tcs Cgst Rate","Tcs Cgst Amount","Tcs Sgst Rate","Tcs Sgst Amount","Tcs Utgst Rate","Tcs Utgst Amount","Tcs Igst Rate","Tcs Igst Amount","Warehouse Id","Fulfillment Channel","Payment Method Code","Credit Note No","Credit Note Date"
"37DFYPG3612C1ZF","IN-13","2021-06-09 04:07:03","Cancel","407-4101389-1783550","14706017438039","","","299297175715","1","","B08KHJG4SR","","4O-1TJK-U6Z1","A_GEN_STANDARD","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","NEW DELHI","DELHI","IN","110035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"37DFYPG3612C1ZF","IN-14","2021-06-14 01:21:23","MFNShipment","403-5938148-9618713","14723346721039","2021-06-16 13:22:36","2021-06-14 00:46:57","299496432237","1","Silver Plated Ashtalakshmi Flower Basket Pooja sajja","B093CHSV1G","7106","T6 VL9D PXEM","A_GEN_STANDARD","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","HYDERABAD","TELANGANA","IN","500084","5720","4847.46","872.54","0","0","0","0.18","0","5720","4847.46","0","0","872.54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","48.47","","MFN","CC","",""
"37DFYPG3612C1ZF","IN-15","2021-06-16 00:45:42","MFNShipment","402-1615461-8845168","14730290696039","2021-06-19 11:51:08","2021-06-16 00:12:48","299513071012","1","Gifts Paradise   German Silver Brindavan Or Tulasi Plant for Pooja and Gift Purpose   Tulsi Kota Height 3 5 Inches","B08KHJG4SR","71171920","4O 1TJK U6Z1","A_GEN_STANDARD","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","NEW DELHI","DELHI","IN","110035","320","271.19","48.81","0","0","0","0.18","0","320","271.19","0","0","48.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","2.71","","MFN","PayStation","",""
"37DFYPG3612C1ZF","IN-16","2021-06-20 22:56:19","Cancel","403-7042862-4886760","14757000374039","","","299667024183","1","","B07RT1647M","","X0-LVBE-TY29","A_GEN_STANDARD","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","BENGALURU","KARNATAKA","IN","560032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"37DFYPG3612C1ZF","","2021-06-14 01:14:15","Cancel","403-5938148-9618713","14723346721039","","","299495047866","1","","B093CHSV1G","","T6-VL9D-PXEM","A_GEN_STANDARD","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","HYDERABAD","TELANGANA","IN","500084","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"37DFYPG3612C1ZF","IN-15","2021-06-16 00:45:42","Cancel","402-1615461-8845168","14730290696039","","","299513071012","1","","B08KHJG4SR","","4O-1TJK-U6Z1","A_GEN_STANDARD","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","NEW DELHI","DELHI","IN","110035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"37DFYPG3612C1ZF","IN-17","2021-06-24 16:05:55","MFNShipment","403-5486189-4643544","14770766507039","2021-06-28 12:04:24","2021-06-24 15:36:53","299794494282","1","Silver Plated Flower Basket Pooja sajja GERMAN SILVER with removable handles","B097DP9ZZ7","7106","RL 2MCC ZPBE","A_GEN_STANDARD","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","SRINGERI  CHICKMAGALUR District","KARNATAKA","IN","577139","848","718.64","129.36","0","0","0","0.18","0","848","718.64","0","0","129.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","7.19","","MFN","COD","",""
"37DFYPG3612C1ZF","IN-18","2021-06-26 15:45:34","MFNShipment","404-4515260-7644351","14785000334039","2021-06-29 12:57:00","2021-06-26 15:17:35","299840305904","1","Ganesh Idol on Leaf   Lord Ganesha with Diya   Metal Hand Craved for Home Decorative Gift Puja Gifts","B093FRJQ1T","74199930","XK VH6J C4Y1","A_GEN_STANDARD","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","VISAKHAPATNAM","ANDHRA PRADESH","IN","530046","271","229.66","41.34","0.09","0.09","0","0","0","271","229.66","20.67","20.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","1.15","0.005","1.15","0","0","0","0","","MFN","CC","",""
"37DFYPG3612C1ZF","","2021-06-29 22:57:31","Cancel","171-2740943-3857916","14797845607039","","","300259778894","1","","B07RT1647M","","X0-LVBE-TY29","A_GEN_STANDARD","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","KAKINADA","ANDHRA PRADESH","IN","533004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"37DFYPG3612C1ZF","IN-19","2021-06-29 23:04:21","MFNShipment","171-2740943-3857916","14797845607039","2021-07-02 12:55:28","2021-06-29 22:29:50","300201416050","1","GoldGiftIdeas Silver Plated Meenakari Sindoor Dabbi with Lid  Pooja Items for Gift  Puja Thali Set for Home Silver  Wedding Return Gift with Designer","B07RT1647M","7106","X0 LVBE TY29","A_GEN_STANDARD","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","VIZIANAGARAM","ANDHRA PRADESH","IN","535002","KAKINADA","ANDHRA PRADESH","IN","533004","290","245.76","44.24","0.09","0.09","0","0","0","290","245.76","22.12","22.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","1.23","0.005","1.23","0","0","0","0","","MFN","COD","",""
